,year,month,day,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,panqianliutong,panhouliutong,qianzongguben,houzongguben,fenshu,xingquanjia
0,2005,2,17,11,扩缩股,,,,,1.1838408708572388,,,,,,
1,2006,5,19,1,除权除息,0.23999999463558197,0.0,0.0,0.0,,,,,,,
2,2006,11,16,1,除权除息,0.3700000047683716,0.0,0.0,0.0,,,,,,,
3,2008,11,19,1,除权除息,0.6000000238418579,0.0,0.0,0.0,,,,,,,
4,2010,11,16,1,除权除息,0.25999999046325684,0.0,0.0,0.0,,,,,,,
5,2012,5,16,1,除权除息,0.10999999940395355,0.0,0.0,0.0,,,,,,,
6,2012,11,13,1,除权除息,0.3700000047683716,0.0,0.0,0.0,,,,,,,
7,2013,11,15,1,除权除息,0.5299999713897705,0.0,0.0,0.0,,,,,,,
8,2014,11,17,1,除权除息,0.4300000071525574,0.0,0.0,0.0,,,,,,,
9,2016,11,29,1,除权除息,0.5299999713897705,0.0,0.0,0.0,,,,,,,
10,2017,11,28,1,除权除息,0.5400000214576721,0.0,0.0,0.0,,,,,,,
11,2018,12,3,1,除权除息,0.49000000953674316,0.0,0.0,0.0,,,,,,,
12,2019,12,2,1,除权除息,0.4699999988079071,0.0,0.0,0.0,,,,,,,
13,2020,11,30,1,除权除息,0.5099999904632568,0.0,0.0,0.0,,,,,,,
14,2021,11,29,1,除权除息,0.4099999964237213,0.0,0.0,0.0,,,,,,,
15,2022,12,1,1,除权除息,0.3700000047683716,0.0,0.0,0.0,,,,,,,
