date,open,close,high,low,volume
2023-01-04,13.95,14.32,14.34,13.89,218968253
2023-01-05,14.1,14.48,14.5,14.04,166542518
2023-01-06,14.24,14.62,14.64,14.18,119574471
2023-01-09,14.41,14.8,14.82,14.35,105765911
2023-01-10,14.06,14.44,14.46,14.0,126942339
2023-01-11,14.29,14.67,14.69,14.22,83056612
2023-01-12,14.29,14.67,14.69,14.22,62569484
2023-01-13,14.56,14.95,14.97,14.5,94908583
2023-01-16,14.69,15.08,15.1,14.62,156003989
2023-01-17,14.58,14.97,14.99,14.52,93583454
2023-01-18,14.72,15.11,15.13,14.65,71843403
2023-01-19,14.7,15.09,15.11,14.63,64187520
2023-01-20,14.73,15.13,15.15,14.67,60859008
2023-01-30,14.75,15.15,15.17,14.69,137431750
2023-01-31,14.6,14.99,15.01,14.54,103049784
2023-02-01,14.32,14.7,14.72,14.25,165342148
2023-02-02,14.22,14.6,14.62,14.16,157790039
2023-02-03,13.95,14.32,14.34,13.89,124638298
2023-02-06,13.63,12.0,14.02,13.58,131761010
2023-02-07,13.84,14.21,14.23,13.78,86946046
2023-02-08,13.67,14.04,14.06,13.61,65789257
2023-02-09,13.76,14.13,14.15,13.7,83035002
2023-02-10,13.61,13.98,14.0,13.56,84728366
2023-02-13,13.46,13.82,13.84,13.4,180005416
2023-02-14,13.6,13.96,13.98,13.54,90993709
2023-02-15,13.31,13.67,13.69,13.26,125024398
2023-02-16,13.24,13.6,13.62,13.19,127912329
2023-02-17,13.08,13.43,13.45,13.02,91836369
2023-02-20,13.78,14.15,14.17,13.72,211619117
2023-02-21,13.73,14.1,14.12,13.67,99049499
2023-02-22,13.65,14.02,14.04,13.59,63892239
2023-02-23,13.68,14.05,14.07,13.62,82449068
2023-02-24,13.5,13.86,13.88,13.44,72998904
2023-02-27,13.33,13.69,13.71,13.27,62146193
2023-02-28,13.42,13.78,13.8,13.36,60793592
2023-03-01,13.8,14.17,14.19,13.74,122345178
